X	Y	NODES	DEPOTS	CAPACITY	TRAVEL	TIME
40	50	800	1	200		240	
X	Y	DEMAND	NODE	EAR	LAT	SERVICE
25	85	20	1	145	175	10
22	75	30	2	50	80	10
22	85	10	3	109	139	10
20	80	40	4	141	171	10
20	85	20	5	41	71	10
18	75	20	6	95	125	10
15	75	20	7	79	109	10
15	80	10	8	91	121	10
10	35	20	9	91	121	10
10	40	30	10	119	149	10
8	40	40	11	59	89	10
8	45	20	12	64	94	10
5	35	10	13	142	172	10
5	45	10	14	35	65	10
2	40	20	15	58	88	10
0	40	20	16	72	102	10
0	45	20	17	149	179	10
44	5	20	18	87	117	10
42	10	40	19	72	102	10
42	15	10	20	122	152	10
40	5	10	21	67	97	10
40	15	40	22	92	122	10
38	5	30	23	65	95	10
38	15	10	24	148	178	10
35	5	20	25	154	184	10
95	30	30	26	115	145	10
95	35	20	27	62	92	10
92	30	10	28	62	92	10
90	35	10	29	67	97	10
88	30	10	30	74	104	10
88	35	20	31	61	91	10
87	30	10	32	131	161	10
85	25	10	33	51	81	10
85	35	30	34	111	141	10
67	85	20	35	139	169	10
65	85	40	36	43	73	10
65	82	10	37	124	154	10
62	80	30	38	75	105	10
60	80	10	39	37	67	10
60	85	30	40	85	115	10
58	75	20	41	92	122	10
55	80	10	42	33	63	10
55	85	20	43	128	158	10
55	82	10	44	64	94	10
20	82	10	45	37	67	10
18	80	10	46	113	143	10
2	45	10	47	45	75	10
42	5	10	48	151	181	10
42	12	10	49	104	134	10
72	35	30	50	116	146	10
55	20	19	51	83	113	10
25	30	3	52	52	82	10
20	50	5	53	91	121	10
55	60	16	54	139	169	10
30	60	16	55	140	170	10
50	35	19	56	130	160	10
30	25	23	57	96	126	10
15	10	20	58	152	182	10
10	20	19	59	42	72	10
15	60	17	60	155	185	10
45	65	9	61	66	96	10
65	35	3	62	52	82	10
65	20	6	63	39	69	10
45	30	17	64	53	83	10
35	40	16	65	11	41	10
41	37	16	66	133	163	10
64	42	9	67	70	100	10
40	60	21	68	144	174	10
31	52	27	69	41	71	10
35	69	23	70	180	210	10
65	55	14	71	65	95	10
63	65	8	72	30	60	10
2	60	5	73	77	107	10
20	20	8	74	141	171	10
5	5	16	75	74	104	10
60	12	31	76	75	105	10
23	3	7	77	150	180	10
8	56	27	78	90	120	10
6	68	30	79	89	119	10
47	47	13	80	192	222	10
49	58	10	81	86	116	10
27	43	9	82	42	72	10
37	31	14	83	35	65	10
57	29	18	84	96	126	10
63	23	2	85	87	117	10
21	24	28	86	87	117	10
12	24	13	87	90	120	10
24	58	19	88	67	97	10
67	5	25	89	144	174	10
37	47	6	90	86	116	10
49	42	13	91	167	197	10
53	43	14	92	14	44	10
61	52	3	93	178	208	10
57	48	23	94	95	125	10
56	37	6	95	34	64	10
55	54	26	96	132	162	10
4	18	35	97	120	150	10
26	52	9	98	46	76	10
26	35	15	99	77	107	10
31	67	3	100	180	210	10
25	85	20	101	0	191	10
22	75	30	102	0	199	10
22	85	10	103	0	190	10
20	80	40	104	141	171	10
20	85	20	105	0	189	10
18	75	20	106	95	125	10
15	75	20	107	0	194	10
15	80	10	108	91	121	10
10	35	20	109	91	121	10
10	40	30	110	119	149	10
8	40	40	111	59	89	10
8	45	20	112	0	197	10
5	35	10	113	142	172	10
5	45	10	114	35	65	10
2	40	20	115	58	88	10
0	40	20	116	72	102	10
0	45	20	117	149	179	10
44	5	20	118	87	117	10
42	10	40	119	72	102	10
42	15	10	120	122	152	10
40	5	10	121	0	185	10
40	15	40	122	92	122	10
38	5	30	123	65	95	10
38	15	10	124	148	178	10
35	5	20	125	154	184	10
95	30	30	126	0	171	10
95	35	20	127	62	92	10
92	30	10	128	62	92	10
90	35	10	129	67	97	10
88	30	10	130	74	104	10
88	35	20	131	0	179	10
87	30	10	132	131	161	10
85	25	10	133	51	81	10
85	35	30	134	0	182	10
67	85	20	135	139	169	10
65	85	40	136	43	73	10
65	82	10	137	0	189	10
62	80	30	138	75	105	10
60	80	10	139	37	67	10
60	85	30	140	85	115	10
58	75	20	141	92	122	10
55	80	10	142	33	63	10
55	85	20	143	128	158	10
55	82	10	144	64	94	10
20	82	10	145	37	67	10
18	80	10	146	113	143	10
2	45	10	147	45	75	10
42	5	10	148	0	184	10
42	12	10	149	104	134	10
72	35	30	150	0	194	10
55	20	19	151	83	113	10
25	30	3	152	0	205	10
20	50	5	153	91	121	10
55	60	16	154	139	169	10
30	60	16	155	140	170	10
50	35	19	156	130	160	10
30	25	23	157	96	126	10
15	10	20	158	152	182	10
10	20	19	159	0	187	10
15	60	17	160	155	185	10
45	65	9	161	66	96	10
65	35	3	162	52	82	10
65	20	6	163	39	69	10
45	30	17	164	53	83	10
35	40	16	165	11	41	10
41	37	16	166	133	163	10
64	42	9	167	70	100	10
40	60	21	168	144	174	10
31	52	27	169	41	71	10
35	69	23	170	180	210	10
65	55	14	171	65	95	10
63	65	8	172	0	202	10
2	60	5	173	77	107	10
20	20	8	174	141	171	10
5	5	16	175	0	172	10
60	12	31	176	75	105	10
23	3	7	177	150	180	10
8	56	27	178	90	120	10
6	68	30	179	89	119	10
47	47	13	180	192	222	10
49	58	10	181	86	116	10
27	43	9	182	0	215	10
37	31	14	183	0	210	10
57	29	18	184	96	126	10
63	23	2	185	0	194	10
21	24	28	186	87	117	10
12	24	13	187	90	120	10
24	58	19	188	67	97	10
67	5	25	189	144	174	10
37	47	6	190	86	116	10
49	42	13	191	0	217	10
53	43	14	192	14	44	10
61	52	3	193	178	208	10
57	48	23	194	0	212	10
56	37	6	195	0	209	10
55	54	26	196	0	214	10
4	18	35	197	120	150	10
26	52	9	198	0	215	10
26	35	15	199	77	107	10
31	67	3	200	180	210	10
25	85	20	201	0	191	10
22	75	30	202	0	199	10
22	85	10	203	0	190	10
20	80	40	204	141	171	10
20	85	20	205	0	189	10
18	75	20	206	95	125	10
15	75	20	207	0	194	10
15	80	10	208	91	121	10
10	35	20	209	91	121	10
10	40	30	210	119	149	10
8	40	40	211	59	89	10
8	45	20	212	0	197	10
5	35	10	213	142	172	10
5	45	10	214	0	194	10
2	40	20	215	58	88	10
0	40	20	216	0	188	10
0	45	20	217	149	179	10
44	5	20	218	0	184	10
42	10	40	219	0	189	10
42	15	10	220	0	194	10
40	5	10	221	0	185	10
40	15	40	222	92	122	10
38	5	30	223	65	95	10
38	15	10	224	0	194	10
35	5	20	225	154	184	10
95	30	30	226	0	171	10
95	35	20	227	62	92	10
